judge_model,judge_display,category,threshold,n_examples,n_error,bias_share,ci_lo,ci_hi,recall_ceiling
gpt-5.4,GPT-5.4,Factuality,0.75,474,48,0.8541666666666666,0.7441860465116279,0.9444696969696968,0.14583333333333337
gpt-5.4,GPT-5.4,Factuality,0.9,474,48,0.6875,0.5510204081632653,0.8108235594084651,0.3125
gpt-5.4,GPT-5.4,Factuality,0.95,474,48,0.5833333333333334,0.44735442329227326,0.7209302325581395,0.41666666666666663
gpt-5.4,GPT-5.4,Focus,0.75,495,70,0.8714285714285714,0.7944988040878451,0.9436815336463222,0.12857142857142856
gpt-5.4,GPT-5.4,Focus,0.9,495,70,0.7428571428571429,0.6388888888888888,0.8412698412698413,0.2571428571428571
gpt-5.4,GPT-5.4,Focus,0.95,495,70,0.6285714285714286,0.5084676298971936,0.7419354838709677,0.37142857142857144
gpt-5.4,GPT-5.4,Math,0.75,183,34,0.7058823529411765,0.5428571428571428,0.8518518518518519,0.2941176470588235
gpt-5.4,GPT-5.4,Math,0.9,183,34,0.5588235294117647,0.3888888888888889,0.7222222222222222,0.4411764705882353
gpt-5.4,GPT-5.4,Math,0.95,183,34,0.5294117647058824,0.36363636363636365,0.7073170731707317,0.47058823529411764
gpt-5.4,GPT-5.4,Precise IF,0.75,159,62,0.7903225806451613,0.6842105263157895,0.8873239436619719,0.20967741935483875
gpt-5.4,GPT-5.4,Precise IF,0.9,159,62,0.6612903225806451,0.5409836065573771,0.7758620689655172,0.33870967741935487
gpt-5.4,GPT-5.4,Precise IF,0.95,159,62,0.5483870967741935,0.4222135416666667,0.6727272727272727,0.4516129032258065
gpt-5.4,GPT-5.4,Safety,0.75,419,29,0.896551724137931,0.7713736263736264,1.0,0.10344827586206895
gpt-5.4,GPT-5.4,Safety,0.9,419,29,0.8620689655172413,0.7221666666666666,0.9697192513368983,0.13793103448275867
gpt-5.4,GPT-5.4,Safety,0.95,419,29,0.7586206896551724,0.5862068965517241,0.9090909090909091,0.24137931034482762
gpt-5.4,GPT-5.4,ALL,0.75,1730,243,0.8271604938271605,0.7782791745730551,0.8771186440677966,0.1728395061728395
gpt-5.4,GPT-5.4,ALL,0.9,1730,243,0.6995884773662552,0.6416587552742616,0.7543141933497537,0.3004115226337448
gpt-5.4,GPT-5.4,ALL,0.95,1730,243,0.6008230452674898,0.5421648779993925,0.6640037735849057,0.39917695473251025
claude-sonnet-4-6,Sonnet 4.6,Factuality,0.75,472,55,0.7090909090909091,0.5849056603773585,0.8214285714285714,0.2909090909090909
claude-sonnet-4-6,Sonnet 4.6,Factuality,0.9,472,55,0.4727272727272727,0.3333333333333333,0.6065573770491803,0.5272727272727273
claude-sonnet-4-6,Sonnet 4.6,Factuality,0.95,472,55,0.43636363636363634,0.3111111111111111,0.5666666666666667,0.5636363636363637
claude-sonnet-4-6,Sonnet 4.6,Focus,0.75,494,63,0.746031746031746,0.6307608695652174,0.8524590163934426,0.25396825396825395
claude-sonnet-4-6,Sonnet 4.6,Focus,0.9,494,63,0.6190476190476191,0.49206349206349204,0.7391521739130433,0.38095238095238093
claude-sonnet-4-6,Sonnet 4.6,Focus,0.95,494,63,0.5714285714285714,0.4444444444444444,0.6901600512163891,0.4285714285714286
claude-sonnet-4-6,Sonnet 4.6,Math,0.75,182,16,0.8125,0.6152173913043478,1.0,0.1875
claude-sonnet-4-6,Sonnet 4.6,Math,0.9,182,16,0.75,0.5,0.9411764705882353,0.25
claude-sonnet-4-6,Sonnet 4.6,Math,0.95,182,16,0.6875,0.45454545454545453,0.9048701298701293,0.3125
claude-sonnet-4-6,Sonnet 4.6,Precise IF,0.75,155,56,0.7142857142857143,0.5918367346938775,0.8363729128014842,0.2857142857142857
claude-sonnet-4-6,Sonnet 4.6,Precise IF,0.9,155,56,0.5357142857142857,0.4074074074074074,0.6666666666666666,0.4642857142857143
claude-sonnet-4-6,Sonnet 4.6,Precise IF,0.95,155,56,0.42857142857142855,0.3018867924528302,0.5593389830508473,0.5714285714285714
claude-sonnet-4-6,Sonnet 4.6,Safety,0.75,441,41,0.7073170731707317,0.5625,0.8378596338273756,0.29268292682926833
claude-sonnet-4-6,Sonnet 4.6,Safety,0.9,441,41,0.6341463414634146,0.47619047619047616,0.7837837837837838,0.36585365853658536
claude-sonnet-4-6,Sonnet 4.6,Safety,0.95,441,41,0.5609756097560976,0.41172699849170435,0.7222517730496452,0.4390243902439024
claude-sonnet-4-6,Sonnet 4.6,ALL,0.75,1744,231,0.7272727272727273,0.6744133431547932,0.7860091874820556,0.2727272727272727
claude-sonnet-4-6,Sonnet 4.6,ALL,0.9,1744,231,0.5757575757575758,0.5097781217750258,0.6386800666212429,0.4242424242424242
claude-sonnet-4-6,Sonnet 4.6,ALL,0.95,1744,231,0.5108225108225108,0.44906517094017095,0.5733333333333334,0.48917748917748916
