monitor,family,backstop,metric,budget,value,ci_lo,ci_hi,n
GPT-5.4-mini,same,GPT-5.4,repair_bias,,0.32142857142857145,0.25,0.4,140.0
GPT-5.4-mini,same,GPT-5.4,repair_varerr,,0.4326241134751773,0.3544326241134752,0.5106382978723404,141.0
GPT-5.4-mini,same,GPT-5.4,overall_acc,0.1,0.796957284961966,,,
GPT-5.4-mini,same,GPT-5.4,overall_acc,0.2,0.794031597425395,,,
GPT-5.4-mini,same,GPT-5.4,overall_acc,0.3,0.7957870099473376,,,
GPT-5.4-mini,same,GPT-5.4,overall_acc,0.5,0.8010532475131656,,,
GPT-5.4-mini,same,GPT-5.4,overall_acc,1.0,0.8174370977179637,,,
GPT-5.4-mini,same,GPT-5.4,safety_acc,0.1,0.926829268292683,,,
GPT-5.4-mini,same,GPT-5.4,safety_acc,0.2,0.9219512195121952,,,
GPT-5.4-mini,same,GPT-5.4,safety_acc,0.3,0.9195121951219513,,,
GPT-5.4-mini,same,GPT-5.4,safety_acc,0.5,0.9243902439024391,,,
GPT-5.4-mini,same,GPT-5.4,safety_acc,1.0,0.9219512195121952,,,
GPT-5.4-mini,cross,Sonnet 4.6,repair_bias,,0.5285714285714286,0.44285714285714284,0.6142857142857143,140.0
GPT-5.4-mini,cross,Sonnet 4.6,repair_varerr,,0.49645390070921985,0.41134751773049644,0.5817375886524813,141.0
GPT-5.4-mini,cross,Sonnet 4.6,overall_acc,0.1,0.8033937975424225,,,
GPT-5.4-mini,cross,Sonnet 4.6,overall_acc,0.2,0.8086600351082505,,,
GPT-5.4-mini,cross,Sonnet 4.6,overall_acc,0.3,0.8115857226448215,,,
GPT-5.4-mini,cross,Sonnet 4.6,overall_acc,0.5,0.8150965476887069,,,
GPT-5.4-mini,cross,Sonnet 4.6,overall_acc,1.0,0.8279695728496197,,,
GPT-5.4-mini,cross,Sonnet 4.6,safety_acc,0.1,0.9219512195121952,,,
GPT-5.4-mini,cross,Sonnet 4.6,safety_acc,0.2,0.9219512195121952,,,
GPT-5.4-mini,cross,Sonnet 4.6,safety_acc,0.3,0.9121951219512195,,,
GPT-5.4-mini,cross,Sonnet 4.6,safety_acc,0.5,0.9,,,
GPT-5.4-mini,cross,Sonnet 4.6,safety_acc,1.0,0.8878048780487805,,,
Haiku 4.5,same,Sonnet 4.6,repair_bias,,0.35555555555555557,0.26666666666666666,0.45555555555555555,90.0
Haiku 4.5,same,Sonnet 4.6,repair_varerr,,0.38461538461538464,0.2905982905982906,0.47029914529914413,117.0
Haiku 4.5,same,Sonnet 4.6,overall_acc,0.1,0.8431831480397893,,,
Haiku 4.5,same,Sonnet 4.6,overall_acc,0.2,0.8414277355178467,,,
Haiku 4.5,same,Sonnet 4.6,overall_acc,0.3,0.8385020479812756,,,
Haiku 4.5,same,Sonnet 4.6,overall_acc,0.5,0.8314803978935049,,,
Haiku 4.5,same,Sonnet 4.6,overall_acc,1.0,0.8279695728496197,,,
Haiku 4.5,same,Sonnet 4.6,safety_acc,0.1,0.9560975609756097,,,
Haiku 4.5,same,Sonnet 4.6,safety_acc,0.2,0.9414634146341463,,,
Haiku 4.5,same,Sonnet 4.6,safety_acc,0.3,0.9292682926829269,,,
Haiku 4.5,same,Sonnet 4.6,safety_acc,0.5,0.9121951219512195,,,
Haiku 4.5,same,Sonnet 4.6,safety_acc,1.0,0.8878048780487805,,,
Haiku 4.5,cross,GPT-5.4,repair_bias,,0.3,0.2111111111111111,0.4,90.0
Haiku 4.5,cross,GPT-5.4,repair_varerr,,0.452991452991453,0.358974358974359,0.5470085470085471,117.0
Haiku 4.5,cross,GPT-5.4,overall_acc,0.1,0.8373317729666472,,,
Haiku 4.5,cross,GPT-5.4,overall_acc,0.2,0.8338209479227618,,,
Haiku 4.5,cross,GPT-5.4,overall_acc,0.3,0.8314803978935049,,,
Haiku 4.5,cross,GPT-5.4,overall_acc,0.5,0.820947922761849,,,
Haiku 4.5,cross,GPT-5.4,overall_acc,1.0,0.8174370977179637,,,
Haiku 4.5,cross,GPT-5.4,safety_acc,0.1,0.948780487804878,,,
Haiku 4.5,cross,GPT-5.4,safety_acc,0.2,0.9463414634146341,,,
Haiku 4.5,cross,GPT-5.4,safety_acc,0.3,0.9414634146341463,,,
Haiku 4.5,cross,GPT-5.4,safety_acc,0.5,0.9317073170731708,,,
Haiku 4.5,cross,GPT-5.4,safety_acc,1.0,0.9219512195121952,,,
